timestamp,cpu_percent,ram_mb
1737395151,105.00,1051.28
1737395152,107.00,1051.28
1737395153,105.00,1051.28
1737395154,109.00,1051.28
1737395155,107.00,1051.28
1737395156,105.00,1051.28
1737395157,105.00,1051.28
1737395158,106.00,1051.28
1737395159,109.00,1051.28
1737395160,105.00,1051.28
1737395161,106.00,1051.28
1737395162,111.00,1051.28
1737395163,108.00,1051.28
1737395164,110.00,1051.28
1737395165,112.00,1051.28
1737395166,106.00,1051.28
1737395167,107.00,1051.28
1737395168,106.00,1051.28
1737395169,104.00,1051.28
1737395170,110.00,1051.28
1737395171,112.00,1051.28
1737395172,104.00,1051.28
1737395173,108.00,1051.28
1737395174,106.00,1051.28
1737395175,107.00,1051.28
1737395176,111.00,1051.28
1737395177,108.00,1051.28
1737395178,105.00,1051.28
1737395179,106.00,1051.28
1737395180,106.00,1051.28
1737395181,105.00,1051.28
1737395182,110.00,1051.28
1737395183,108.00,1051.28
1737395184,109.00,1051.28
1737395185,109.00,1051.28
1737395186,109.00,1051.28
1737395187,105.00,1051.28
1737395188,108.00,1051.28
1737395189,108.00,1051.28
1737395190,105.00,1051.28
1737395191,106.00,1051.28
1737395192,105.00,1051.28
1737395193,106.00,1051.28
1737395194,106.00,1051.28
1737395195,105.00,1051.28
1737395196,105.00,1051.28
1737395197,106.00,1051.28
1737395198,115.00,1051.28
1737395199,109.00,1051.28
1737395200,107.00,1051.28
1737395201,104.00,1051.28
1737395202,106.00,1051.28
1737395203,106.00,1051.28
1737395204,105.00,1051.28
1737395205,108.00,1051.28
1737395206,107.00,1051.28
1737395207,105.00,1051.28
1737395208,105.00,1051.28
1737395209,110.00,1051.28
1737395210,109.00,1051.28
1737395211,111.00,1051.28
1737395212,110.00,1051.28
1737395213,111.00,1051.28
1737395214,105.00,1051.28
1737395215,110.00,1051.28
1737395216,104.00,1051.28
1737395217,105.00,1051.28
1737395218,107.00,1051.28
1737395219,104.00,1051.28
1737395220,105.00,1051.28
1737395221,107.00,1051.28
1737395222,105.00,1051.28
1737395223,104.00,1051.28
1737395224,107.00,1051.28
1737395225,105.00,1051.28
1737395226,105.00,1051.28
1737395227,111.00,1051.28
1737395228,105.00,1051.28
1737395229,107.00,1051.28
1737395230,107.00,1051.28
1737395231,105.00,1051.28
1737395232,109.00,1051.28
1737395233,107.00,1051.28
1737395234,108.00,1051.28
1737395235,105.00,1051.28
1737395236,116.00,1051.28
1737395237,105.00,1051.28
1737395238,108.00,1051.28
1737395239,111.00,1051.28
1737395240,107.00,1051.28
1737395241,108.00,1051.28
1737395242,108.00,1051.28
1737395243,106.00,1051.28
1737395244,105.00,1051.28
1737395245,106.00,1051.28
1737395246,108.00,1051.28
1737395247,105.00,1051.28
1737395248,106.00,1051.28
1737395249,112.00,1051.28
1737395250,109.00,1051.28
1737395251,106.00,1051.28
1737395252,105.00,1051.28
1737395253,105.00,1051.28
1737395254,106.00,1051.28
1737395255,105.00,1051.28
1737395256,105.00,1051.28
1737395257,107.00,1051.28
1737395258,105.00,1051.28
1737395259,109.00,1051.28
1737395260,107.00,1051.28
1737395261,108.00,1051.28
